kind, date, description, amount, how_paid, balance
DEBIT,2/21/2013,"WALT'S FOOD - CRET CRETE IL                  02/20",-15.04,DEBIT_CARD,337.60,
DEBIT,2/21/2013,"VITAMIN SHOPPE #472 MATTESON IL              02/20",-68.48,DEBIT_CARD,352.64,
DEBIT,2/21/2013,"WHOLEFDS OLP #10481 ORLAND PARK IL           02/20",-61.24,DEBIT_CARD,421.12,
DEBIT,2/21/2013,"RACECO 104 UNIVERSITY PA IL                  02/20",-25.00,DEBIT_CARD,482.36,
DEBIT,2/21/2013,"HERITAGE HEALTH FOOD COUNTRY CLUB IL         02/19",-22.02,DEBIT_CARD,507.36,
DEBIT,2/20/2013,"RAILSCASTS 541-2264551 OR                    02/18",-9.00,DEBIT_CARD,529.38,
DEBIT,2/20/2013,"ATM WITHDRAWAL                       002897  02/2015100 LAG",-160.00,ATM,538.38,
DEBIT,2/20/2013,"MEIJER #262 ORLAND PARK IL                   02/18",-61.26,DEBIT_CARD,698.38,
DEBIT,2/19/2013,"Online Payment 3123351105 To COMMONWEALTH EDISON 02/19",-113.22,BILLPAY,759.64,
DEBIT,2/19/2013,"TRADER JOE'S #686  QPS ORLAND PARK IL        02/18",-76.69,DEBIT_CARD,872.86,
DEBIT,2/19/2013,"WHOLEFDS OLP #10481 ORLAND PARK IL           02/18",-95.14,DEBIT_CARD,949.55,
DEBIT,2/19/2013,"PETCO 860     63508600 HIGHLAND IN           02/18",-32.62,DEBIT_CARD,1044.69,
DEBIT,2/19/2013,"SHELL OIL 57444082101 CRETE IL               02/18",-40.85,DEBIT_CARD,1077.31,
DEBIT,2/19/2013,"MEIJER INC #170    Q01 HIGHLAND IN           02/16",-23.94,DEBIT_CARD,1118.16,
DEBIT,2/19/2013,"JEWEL #3167 SOUTH CHICAGO IL                 02/15",-52.46,DEBIT_CARD,1142.10,
CHECK,2/15/2013,"CHECK 5185 ",-50.00,CHECK_PAID,1194.56,
DEBIT,2/15/2013,"WHOLEFDS OLP #10481 ORLAND PARK IL           02/14",-70.06,DEBIT_CARD,1244.56,
DEBIT,2/14/2013,"SPEEDWAY 07047 105 CRETE IL                  02/13",-26.01,DEBIT_CARD,1314.62,
